SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-25-2020,Townhouse,53 Glen Valley Cir,Danville,CA,94526,760000,2,2,Glen Valley,994,3733,1987,161,765,224,Sold,,,http://www.redfin.com/CA/Danville/53-Glen-Valley-Cir-94526/home/771337,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40903119,N,Y,37.802257,-121.9869896
PAST SALE,June-23-2020,Single Family Residential,1075 River Rock Ln,Danville,CA,94526,1000000,3,2.5,Stoneybrook,1492,1790,1996,163,670,275,Sold,,,http://www.redfin.com/CA/Danville/1075-River-Rock-Ln-94526/home/970120,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40903102,N,Y,37.8209092,-121.9952287
PAST SALE,June-12-2020,Townhouse,632 Hartley Dr,Danville,CA,94526,585000,2,2,Walnut Forest,1207,,1972,174,485,462,Sold,,,http://www.redfin.com/CA/Danville/632-Hartley-Dr-94526/home/967667,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40893586,N,Y,37.814953,-121.995354
PAST SALE,June-19-2020,Single Family Residential,2 ASHLAND Way,Danville,CA,94506,1200000,4,2,Wood Ranch,2022,6300,1988,167,593,93,Sold,,,http://www.redfin.com/CA/Danville/2-Ashland-Way-94506/home/971832,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905135,N,Y,37.7997078,-121.9371339
PAST SALE,,Single Family Residential,5114 Blackhawk Dr,Danville,CA,94506,2115000,4,4,,4682,20250,1982,,452,,,,,http://www.redfin.com/CA/Danville/5114-Blackhawk-Dr-94506/home/1877968,,,N,Y,37.8155652,-121.9095753
PAST SALE,June-26-2020,Single Family Residential,48 Emerald Dr,Danville,CA,94526,2140000,3,2.5,Westside Danvill,2140,16000,1965,160,1000,,Sold,,,http://www.redfin.com/CA/Danville/48-Emerald-Dr-94526/home/1959967,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40908467,N,Y,37.8265082,-122.0153048
PAST SALE,July-1-2020,Single Family Residential,926 Richard Ln,Danville,CA,94526,1265000,4,3,Woodmont,2689,15288,1985,155,470,,Sold,,,http://www.redfin.com/CA/Danville/926-Richard-Ln-94526/home/1646181,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40893669,N,Y,37.8249772,-121.9803025
PAST SALE,June-24-2020,Single Family Residential,5122 Bengali St,Danville,CA,94506,1125000,3,2,Alamo Creek,1594,5550,2011,162,706,125,Sold,,,http://www.redfin.com/CA/Danville/5122-Bengali-St-94506/home/40091299,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40907378,N,Y,37.7926539,-121.8750984
PAST SALE,,Single Family Residential,110 Glasgow Cir,Danville,CA,94526,1185000,4,3,,2484,5560,1989,,477,,,,,http://www.redfin.com/CA/Danville/110-Glasgow-Cir-94526/home/1646247,,,N,Y,37.8147292,-121.9618641
PAST SALE,November-12-2020,Single Family Residential,5 Elizabeth Ln,Danville,CA,94526,1995000,5,3.5,Danville,2478,32000,1951,21,805,,Sold,,,http://www.redfin.com/CA/Danville/5-Elizabeth-Ln-94526/home/1976897,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924161,N,Y,37.8367479,-121.9855447
