Rank,Median Household Income,Zip , Population
599,66983,93531 ,338
600,66932,91917 ,896
601,66875,92382 ,"5,161"
602,66848,91792 ,"30,102"
603,66825,92107 ,"26,947"
604,66775,92342 ,"6,303"
605,66771,93463 ,"8,132"
606,66750,95426 ,"1,659"
607,66711,95337 ,"31,399"
608,66706,90605 ,"42,103"
609,66679,93628 ,266
610,66607,94132 ,"31,926"
611,66590,92374 ,"40,911"
612,66553,90631 ,"68,899"
613,66506,93420 ,"30,076"
614,66483,91978 ,"9,812"
615,66417,92059 ,"1,450"
616,66291,95620 ,"21,005"
617,66136,94599 ,"3,187"
618,66079,94805 ,"14,329"
619,66057,91790 ,"46,059"
620,66014,93422 ,"31,899"
621,66000,92008 ,"26,464"
622,65938,95668 ,752
623,65793,92103 ,"31,927"
624,65769,95691 ,"35,929"
625,65735,93287 ,141
626,65706,95467 ,"6,168"
627,65701,93036 ,"44,277"
628,65640,90604 ,"39,541"
629,65625,96006 ,400
630,65425,95409 ,"25,784"
631,65319,92117 ,"53,205"
632,65297,92108 ,"19,245"
633,65208,95356 ,"32,794"
634,65156,93546 ,"9,408"
635,65122,95662 ,"31,814"
636,65114,95651 ,517
637,65035,90404 ,"21,641"
638,64976,92057 ,"55,618"
639,64974,93446 ,"44,288"
640,64874,95382 ,"37,163"
641,64843,93023 ,"20,603"
642,64803,93313 ,"43,644"
643,64787,92040 ,"42,323"
644,64773,95843 ,"47,172"
645,64738,92223 ,"46,719"
646,64712,95442 ,"3,154"
647,64701,90715 ,"20,283"
648,64660,94577 ,"45,808"
649,64625,94931 ,"8,570"
650,64612,92321 ,"1,244"
651,64583,94512 ,214
652,64545,90041 ,"28,439"
653,64479,95669 ,"2,676"
654,64375,95545 ,99
655,64355,95242 ,"26,187"
656,64219,96085 ,50
657,64140,92313 ,"12,252"
658,64089,92780 ,"60,438"
659,64034,95993 ,"35,847"
660,63948,92373 ,"34,017"
661,63934,93711 ,"37,630"
662,63901,95631 ,"5,910"
663,63871,92354 ,"21,555"
664,63833,90606 ,"32,978"
665,63816,95982 ,"3,251"
666,63750,92398 ,"1,165"
666,63750,95776 ,"21,827"
668,63740,91722 ,"36,352"
669,63728,92056 ,"52,758"
670,63722,91905 ,"1,370"
671,63721,95602 ,"18,498"
672,63610,92868 ,"27,353"
673,63604,95658 ,"6,261"
674,63544,91602 ,"18,315"
675,63529,95941 ,505
676,63514,93428 ,"6,348"
677,63413,92585 ,"20,148"
678,63248,95330 ,"17,702"
679,63173,94109 ,"54,768"
680,63112,93440 ,"1,472"
681,63111,91202 ,"23,007"
682,63105,93675 ,"2,808"
683,63045,91780 ,"35,274"
684,63029,95403 ,"44,918"
685,62969,93427 ,"5,279"
685,62969,95678 ,"41,929"
687,62828,92806 ,"39,616"
688,62677,92879 ,"48,654"
689,62589,92866 ,"15,473"
690,62558,90305 ,"15,501"
691,62533,90502 ,"17,135"
691,62533,93555 ,"32,967"
693,62500,91501 ,"19,829"
693,62500,95043 ,636
695,62424,95245 ,"2,064"
696,62384,95252 ,"14,143"
697,62372,91752 ,"28,649"
698,62365,95060 ,"47,148"
699,62262,95376 ,"49,398"
700,62253,95062 ,"36,358"
701,62230,93921 ,"3,164"
702,62182,94515 ,"7,314"
703,62180,95946 ,"10,206"
704,62109,92305 ,321
705,62076,95448 ,"17,078"
706,62056,95223 ,"3,042"
707,62043,95692 ,"4,812"
708,62016,91316 ,"28,190"
709,61952,91730 ,"66,979"
710,61934,92840 ,"56,291"
711,61563,94571 ,"8,171"
712,61525,92595 ,"31,139"
713,61500,95113 ,"1,163"
714,61488,96062 ,"1,253"
715,61466,93601 ,"2,457"
716,61379,93444 ,"19,578"
717,61319,93239 ,"1,950"
718,61310,94573 ,142
719,61308,93437 ,"3,464"
720,61296,91916 ,"1,580"
721,61270,91761 ,"59,892"
722,61255,95632 ,"30,064"
723,61250,95228 ,"4,576"
724,61157,96120 ,"1,091"
725,60959,91306 ,"48,707"
726,60952,94710 ,"6,439"
727,60920,92110 ,"28,006"
728,60899,91342 ,"91,701"
728,60899,95220 ,"7,501"
730,60896,91748 ,"47,859"
731,60802,90401 ,"7,035"
732,60750,95938 ,"3,936"
733,60724,93243 ,"1,720"
734,60720,95713 ,"9,920"
735,60660,95619 ,"4,937"
736,60655,92557 ,"51,871"
737,60648,95685 ,"4,278"
738,60625,92549 ,"2,652"
739,60587,93265 ,"2,892"
740,60579,95626 ,"6,335"
741,60556,95075 ,330
742,60544,90701 ,"16,698"
743,60536,95064 ,"8,425"
744,60532,91723 ,"20,010"
745,60523,90650 ,"106,521"
746,60513,93561 ,"34,246"
747,60459,95949 ,"19,640"
748,60268,96103 ,"1,357"
749,60230,94134 ,"40,343"
750,60162,92154 ,"86,740"
751,60148,91345 ,"18,196"
752,60139,93517 ,796
753,60124,91977 ,"59,481"
754,60118,91010 ,"25,797"
755,60100,95476 ,"38,822"
756,60089,94060 ,"1,650"
757,60000,93925 ,"1,672"
758,59995,92346 ,"58,845"
759,59965,95212 ,"25,244"
760,59878,90501 ,"43,407"
761,59844,95634 ,"3,143"
762,59832,95962 ,"1,285"
763,59738,93461 ,"1,661"
764,59728,92278 ,"4,156"
765,59699,94544 ,"76,508"
766,59679,92139 ,"37,450"
767,59628,94702 ,"16,868"
768,59545,95441 ,"1,989"
769,59502,91746 ,"29,420"
770,59412,92704 ,"87,121"
771,59375,95497 ,983
772,59302,92399 ,"54,056"
773,59150,94709 ,"12,030"
