property_type,zipcode,price,beds,baths,sqft,lot_size,days_on_market,price_per_sqft,hoa_month,property_age,school_rating,school_count,median_income,hotness_score,supply_score,demand_score,university_count,barts,malls,universities,bedBath,AvgRoomSize
0,94566,1117000,3,2,1614,8989,114,692,0.0,36,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,322.8
0,94566,950000,4,2,1650,8392,163,576,0.0,51,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,275.0
0,94566,1880000,5,4,3722,7038,101,505,0.0,17,8,9,126782,80.07,79.57,80.57,0,0,1,0,20,413.556
0,94566,1615000,5,4,3265,6103,37,495,0.0,17,8,9,126782,80.07,79.57,80.57,0,0,1,0,20,362.778
0,94566,1350000,4,3,2634,5000,91,513,0.0,32,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,376.286
0,94588,904800,3,2,1579,6500,155,573,0.0,45,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,315.8
0,94588,971000,3,2,1436,6363,91,676,0.0,53,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,287.2
0,94566,1200000,4,3,2110,9515,128,569,0.0,52,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,301.429
0,94566,1130000,3,2,1886,7240,148,599,0.0,53,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,377.2
1,94588,540000,2,1,884,1656,78,611,292.0,50,9,6,134451,85.91,87.06,84.76,0,1,1,0,2,294.667
0,94588,1450000,4,3,2347,8930,78,618,0.0,37,9,6,134451,85.91,87.06,84.76,0,1,1,0,12,335.286
0,94566,1400000,4,2,2076,7280,31,674,0.0,57,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,346.0
0,94566,1300000,3,2,2547,7348,18,510,0.0,49,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,509.4
0,94566,1900000,5,3,3396,9151,45,559,240.0,24,8,9,126782,80.07,79.57,80.57,0,0,1,0,15,424.5
0,94566,1875000,4,4,3538,9484,137,530,240.0,20,8,9,126782,80.07,79.57,80.57,0,0,1,0,16,442.25
0,94566,1275000,4,2,1993,11416,91,640,0.0,46,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,332.167
0,94566,1040000,4,3,1986,3863,171,524,90.0,30,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,283.714
0,94566,1400000,4,2,2046,7307,95,684,0.0,54,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,341.0
0,94566,1150000,4,2,1411,6615,31,815,0.0,69,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,235.167
0,94566,789000,2,1,923,7788,99,855,0.0,70,8,9,126782,80.07,79.57,80.57,0,0,1,0,2,307.667
0,94566,930000,3,2,1614,3486,147,576,0.0,45,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,322.8
2,94566,572000,2,2,1096,829,91,522,298.0,36,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,274.0
